18
646,-1,0;647,-1,1;648,-1,2;649,-1,3;650,-1,4;696,-1,5;
504,-1,0;458,-1,1;457,-1,2;456,-1,3;455,-1,4;454,-1,5;
1282,-1,0;1281,-1,1;1280,-1,2;1279,-1,3;1279,-1,4;1279,-1,5;
510,-1,0;511,-1,1;512,-1,2;513,-1,3;514,-1,4;514,-1,5;
734,-1,0;733,-1,1;732,-1,2;731,-1,3;730,-1,4;729,-1,5;
278,-1,0;279,-1,1;233,-1,2;234,-1,3;235,-1,4;235,-1,5;
971,-1,0;972,-1,1;973,-1,2;974,-1,3;974,-1,4;974,-1,5;
1200,-1,0;1201,-1,1;1155,-1,2;1156,-1,3;1157,-1,4;1156,-1,5;
178,-1,0;177,-1,1;176,-1,2;175,-1,3;175,-1,4;175,-1,5;
281,-1,0;282,-1,1;236,-1,2;237,-1,3;236,-1,4;282,-1,5;
1424,-1,0;1378,-1,1;1377,-1,2;1376,-1,3;1375,-1,4;1374,-1,5;
181,-1,0;180,-1,1;179,-1,2;178,-1,3;177,-1,4;176,-1,5;
1055,-1,0;1009,-1,1;1008,-1,2;1007,-1,3;1006,-1,4;1005,-1,5;
600,-1,0;601,-1,1;602,-1,2;603,-1,3;604,-1,4;605,-1,5;
316,-1,0;315,-1,1;361,-1,2;360,-1,3;361,-1,4;315,-1,5;
143,-1,0;144,-1,1;145,-1,2;146,-1,3;146,-1,4;146,-1,5;
273,-1,0;272,-1,1;271,-1,2;270,-1,3;269,-1,4;268,-1,5;
869,-1,0;823,-1,1;822,-1,2;821,-1,3;820,-1,4;821,-1,5;
